2019-06-06 01:23:59.239 ERROR 5964 --- [main] o.s.b.c.l.LoggingApplicationListener     : Cannot set level 'TARCE' for 'null'
2019-06-06 01:23:59.411  INFO 5964 --- [main] c.example.mpdemo.mapper.TestUserMapper   : Starting TestUserMapper on honer with PID 5964 (started by fung in F:\workSpace\IDEA_workspace\mpdemo)
2019-06-06 01:23:59.411  INFO 5964 --- [main] c.example.mpdemo.mapper.TestUserMapper   : The following profiles are active: dev
2019-06-06 01:24:00.515  WARN 5964 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'cityMapper' and 'com.example.mpdemo.mapper.CityMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:24:00.515  WARN 5964 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'roleMapper' and 'com.example.mpdemo.mapper.RoleMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:24:00.515  WARN 5964 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userMapper' and 'com.example.mpdemo.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:24:00.515  WARN 5964 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userRoleMapper' and 'com.example.mpdemo.mapper.UserRoleMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:24:00.515  WARN 5964 --- [main] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.example.mpdemo.mapper]' package. Please check your configuration.
2019-06-06 01:24:01.374  INFO 5964 --- [main] com.zaxxer.hikari.HikariDataSource       : primaryData - Starting...
2019-06-06 01:24:01.536  INFO 5964 --- [main] com.zaxxer.hikari.HikariDataSource       : primaryData - Start completed.
2019-06-06 01:24:02.600  INFO 5964 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-06-06 01:24:03.006  INFO 5964 --- [main] c.example.mpdemo.mapper.TestUserMapper   : Started TestUserMapper in 4.542 seconds (JVM running for 5.932)
2019-06-06 01:24:03.272  INFO 5964 --- [main] c.example.mpdemo.mapper.TestUserMapper   : UserVO(userId=3, userName=123, password=bbh, phone=phone3, modifyTime=Mon Sep 03 08:00:00 CST 2018, createTime=null, role=[Role(id=2, name=中书省, createTime=null, updateTime=null), Role(id=4, name=尚书省, createTime=null, updateTime=null)])
2019-06-06 01:24:03.288  INFO 5964 --- [Thread-2] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-06-06 01:24:03.288  INFO 5964 --- [Thread-2] com.zaxxer.hikari.HikariDataSource       : primaryData - Shutdown initiated...
2019-06-06 01:24:03.303  INFO 5964 --- [Thread-2] com.zaxxer.hikari.HikariDataSource       : primaryData - Shutdown completed.
2019-06-06 01:25:24.710  INFO 16876 --- [main] c.example.mpdemo.mapper.TestUserMapper   : Starting TestUserMapper on honer with PID 16876 (started by fung in F:\workSpace\IDEA_workspace\mpdemo)
2019-06-06 01:25:24.710  INFO 16876 --- [main] c.example.mpdemo.mapper.TestUserMapper   : The following profiles are active: dev
2019-06-06 01:25:25.804  WARN 16876 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'cityMapper' and 'com.example.mpdemo.mapper.CityMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:25:25.804  WARN 16876 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'roleMapper' and 'com.example.mpdemo.mapper.RoleMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:25:25.804  WARN 16876 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userMapper' and 'com.example.mpdemo.mapper.UserMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:25:25.804  WARN 16876 --- [main] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'userRoleMapper' and 'com.example.mpdemo.mapper.UserRoleMapper' mapperInterface. Bean already defined with the same name!
2019-06-06 01:25:25.819  WARN 16876 --- [main] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.example.mpdemo.mapper]' package. Please check your configuration.
2019-06-06 01:25:27.085  INFO 16876 --- [main] com.zaxxer.hikari.HikariDataSource       : primaryData - Starting...
2019-06-06 01:25:27.303  INFO 16876 --- [main] com.zaxxer.hikari.HikariDataSource       : primaryData - Start completed.
2019-06-06 01:25:28.394  INFO 16876 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-06-06 01:25:28.865  INFO 16876 --- [main] c.example.mpdemo.mapper.TestUserMapper   : Started TestUserMapper in 4.811 seconds (JVM running for 5.933)
2019-06-06 01:25:29.178  INFO 16876 --- [main] c.example.mpdemo.mapper.TestUserMapper   : UserVO(userId=3, userName=123, password=bbh, phone=phone3, modifyTime=Mon Sep 03 08:00:00 CST 2018, createTime=null, role=[Role(id=2, name=中书省, createTime=null, updateTime=null), Role(id=4, name=尚书省, createTime=null, updateTime=null)])
2019-06-06 01:25:29.178  INFO 16876 --- [Thread-2] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
